compound_id	SMILES	pic50
48	CC(C)n1ncc2cc(CCc3nc(-c4ccccc4)cn3C)ncc21	6.06586479100792
49	Cn1ncc(C(=O)N2CCC2)c1C(=O)NCCc1nc(-c2ccccc2)nn1CC(F)(F)F	7.36627249307259
50	Cc1c(Cl)cc(OCCN2CCOCC2)c2nc(CCc3nc(N4CCCC4)nn3C)nn12	8.86423148543218
51	COCCN(C)C(=O)c1cnn(C)c1C(=O)Nc1ccn2cc(-c3cccc(OCF)c3)nc2n1	7.72152077695368
52	Cn1cc(-c2ccccc2)nc1CCc1nc2cccc(Cl)c2c(=O)[nH]1	6.91279021158463
53	COCCn1nc(-c2ccccn2)cc1NC(=O)c1nc(C2CC2)ccc1Nc1cncnc1	9.74232142513081
54	Cn1cc(-c2ccccc2)nc1CCc1nc(N2CCOCC2)c2cc(Cl)ccc2n1	8.96537154337468
55	CN(C)c1nc(CCc2nc(-c3ccccc3)cn2C)nc2ccc(Cl)cc12	8.48771593671815
56	N#CCCn1nc(-c2ccccn2)cc1NC(=O)c1nc(C2CC2)ccc1Nc1cncnc1	6.76922165072318
57	Cc1c(C#N)ccc2nc(CCc3nc(N4CCCC4)nn3C)nn12	8.45979570015794
58	CCCn1nc(-c2ccccn2)cc1NC(=O)c1nc(C2CC2)ccc1Nc1cncnc1	8.77391588402418
59	Cn1cc(-c2ccccc2)nc1COc1ncc(C2CC2)nc1C(=O)NCc1ccccc1	7.24079312966865
60	CC(C)n1nc(-c2ccccn2)cc1NC(=O)c1nc(C2CC2)ccc1Nc1cncnc1	8.5927791070726
61	Cc1nc(C(=O)N2CCC2)c(C(=O)NCCc2nc(-c3ccccc3)cn2C)n1C	7.0656076103589
62	Cc1nc2ccccc2nc1CCc1nc(-c2ccccc2)cn1CC1CC1	8.03179733185715
63	Cn1cc(-c2ccccc2)nc1CCc1ccc2nc(C3CC3)c(CO)n2n1	6.18337099178817
64	Cn1cc(-c2ccccc2)nc1/C=C/c1nc(N2CCOCC2)c2cc(Cl)ccc2n1	8.88140463477624
65	COCCN(C)C(=O)c1cnn(C)c1C(=O)Nc1ccn2cc(-c3cccc(OC)c3)nc2n1	7.65694607708715
66	Cn1ncc(C(=O)N2CCC2)c1C(=O)Nc1ccn2nc(-c3cccc(OCCF)n3)nc2c1	8.27075419277469
67	COc1cccc(-c2cn(C)c(CCNC(=O)c3c(C(=O)N4CCC4)cnn3C)n2)c1	7.41462952287792
68	CN(C(=O)c1cnn(C)c1C(=O)NCCc1nc(-c2ccccc2)cn1C)C1CCCC1	7.26581645784733
69	O=C(Nc1cc(-c2ccc(Cl)cn2)nn1CCO)c1nc(C2CC2)ccc1Nc1cncnc1	8.79832982035342
70	Cc1cc(Cl)cc2c(=O)[nH]c(CCc3nc(-c4ccccc4)cn3C)nc12	7.09082923029196
71	Cn1ncc(C(=O)N2CCC2)c1C(=O)Nc1ccn2nc(-c3ccccc3OCF)nc2c1	8.76070052087311
